row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
4112, 1.40625, 135.0,1.40625, 137.8125,4.21875, 135.0,4.21875, 137.8125, -0.08651282367981622
4113, 1.40625, 137.8125,1.40625, 140.625,4.21875, 137.8125,4.21875, 140.625, -0.08629037902794451
4114, 1.40625, 140.625,1.40625, 143.4375,4.21875, 140.625,4.21875, 143.4375, -0.08607912444021976
4115, 1.40625, 143.4375,1.40625, 146.25,4.21875, 143.4375,4.21875, 146.25, -0.08576123019343827
4116, 1.40625, 146.25,1.40625, 149.0625,4.21875, 146.25,4.21875, 149.0625, -0.08539625538337678
4117, 1.40625, 149.0625,1.40625, 151.875,4.21875, 149.0625,4.21875, 151.875, -0.08504897516684463
4118, 1.40625, 151.875,1.40625, 154.6875,4.21875, 151.875,4.21875, 154.6875, -0.08473283752950167
4119, 1.40625, 154.6875,1.40625, 157.5,4.21875, 154.6875,4.21875, 157.5, -0.0845393660450813
4120, 1.40625, 157.5,1.40625, 160.3125,4.21875, 157.5,4.21875, 160.3125, -0.08440064051970222
4121, 1.40625, 160.3125,1.40625, 163.125,4.21875, 160.3125,4.21875, 163.125, -0.08424646794616149
4122, 1.40625, 163.125,1.40625, 165.9375,4.21875, 163.125,4.21875, 165.9375, -0.08405231793814401
4123, 1.40625, 165.9375,1.40625, 168.75,4.21875, 165.9375,4.21875, 168.75, -0.08382360545848005
4124, 1.40625, 168.75,1.40625, 171.5625,4.21875, 168.75,4.21875, 171.5625, -0.08349888817514517
4125, 1.40625, 171.5625,1.40625, 174.375,4.21875, 171.5625,4.21875, 174.375, -0.083156431547917
4126, 1.40625, 174.375,1.40625, 177.1875,4.21875, 174.375,4.21875, 177.1875, -0.08267544975440796
4127, 1.40625, 177.1875,1.40625, 180.0,4.21875, 177.1875,4.21875, 180.0, -0.0821249397802211
4128, 1.40625, 180.0,1.40625, 182.8125,4.21875, 180.0,4.21875, 182.8125, -0.0816192514808129
4129, 1.40625, 182.8125,1.40625, 185.625,4.21875, 182.8125,4.21875, 185.625, -0.08116829139757799
4130, 1.40625, 185.625,1.40625, 188.4375,4.21875, 185.625,4.21875, 188.4375, -0.08078512270509498
4131, 1.40625, 188.4375,1.40625, 191.25,4.21875, 188.4375,4.21875, 191.25, -0.08043914957327249
4132, 1.40625, 191.25,1.40625, 194.0625,4.21875, 191.25,4.21875, 194.0625, -0.08018792197604083
4133, 1.40625, 194.0625,1.40625, 196.875,4.21875, 194.0625,4.21875, 196.875, -0.08004942658778233
4134, 1.40625, 196.875,1.40625, 199.6875,4.21875, 196.875,4.21875, 199.6875, -0.08002687367055332
4135, 1.40625, 199.6875,1.40625, 202.5,4.21875, 199.6875,4.21875, 202.5, -0.08005968253888258
4136, 1.40625, 202.5,1.40625, 205.3125,4.21875, 202.5,4.21875, 205.3125, -0.08029482873352634
4137, 1.40625, 205.3125,1.40625, 208.125,4.21875, 205.3125,4.21875, 208.125, -0.08059845498442954
4138, 1.40625, 208.125,1.40625, 210.9375,4.21875, 208.125,4.21875, 210.9375, -0.08093451749947
4139, 1.40625, 210.9375,1.40625, 213.75,4.21875, 210.9375,4.21875, 213.75, -0.08129864613198409
4140, 1.40625, 213.75,1.40625, 216.5625,4.21875, 213.75,4.21875, 216.5625, -0.08166717417197165
4141, 1.40625, 216.5625,1.40625, 219.375,4.21875, 216.5625,4.21875, 219.375, -0.08200732239092581
4142, 1.40625, 219.375,1.40625, 222.1875,4.21875, 219.375,4.21875, 222.1875, -0.08234069436663803
4143, 1.40625, 222.1875,1.40625, 225.0,4.21875, 222.1875,4.21875, 225.0, -0.08277605864038434
4144, 1.40625, 225.0,1.40625, 227.8125,4.21875, 225.0,4.21875, 227.8125, -0.08321444582732769
