row,lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,sil_score
4113, 1.40625, 137.8125,1.40625, 140.625,4.21875, 137.8125,4.21875, 140.625, -0.09872048765513532
4114, 1.40625, 140.625,1.40625, 143.4375,4.21875, 140.625,4.21875, 143.4375, -0.0772773875957862
4115, 1.40625, 143.4375,1.40625, 146.25,4.21875, 143.4375,4.21875, 146.25, -0.031677891210997476
4116, 1.40625, 146.25,1.40625, 149.0625,4.21875, 146.25,4.21875, 149.0625, -0.0062938744214017395
4117, 1.40625, 149.0625,1.40625, 151.875,4.21875, 149.0625,4.21875, 151.875, -0.015525914997465824
4118, 1.40625, 151.875,1.40625, 154.6875,4.21875, 151.875,4.21875, 154.6875, -0.05118917607035932
4119, 1.40625, 154.6875,1.40625, 157.5,4.21875, 154.6875,4.21875, 157.5, -0.04905540604817767
4120, 1.40625, 157.5,1.40625, 160.3125,4.21875, 157.5,4.21875, 160.3125, -0.058442252670941726
4121, 1.40625, 160.3125,1.40625, 163.125,4.21875, 160.3125,4.21875, 163.125, -0.07232726237415563
4122, 1.40625, 163.125,1.40625, 165.9375,4.21875, 163.125,4.21875, 165.9375, -0.07631626838422169
4123, 1.40625, 165.9375,1.40625, 168.75,4.21875, 165.9375,4.21875, 168.75, -0.08366858835268716
4124, 1.40625, 168.75,1.40625, 171.5625,4.21875, 168.75,4.21875, 171.5625, -0.08387710337716084
4125, 1.40625, 171.5625,1.40625, 174.375,4.21875, 171.5625,4.21875, 174.375, -0.08419437206368041
4126, 1.40625, 174.375,1.40625, 177.1875,4.21875, 174.375,4.21875, 177.1875, -0.07955620649398772
4127, 1.40625, 177.1875,1.40625, 180.0,4.21875, 177.1875,4.21875, 180.0, -0.08568003233696404
4128, 1.40625, 180.0,1.40625, 182.8125,4.21875, 180.0,4.21875, 182.8125, -0.08922424606632424
4129, 1.40625, 182.8125,1.40625, 185.625,4.21875, 182.8125,4.21875, 185.625, -0.08894918634148681
4130, 1.40625, 185.625,1.40625, 188.4375,4.21875, 185.625,4.21875, 188.4375, -0.08492997483548882
4131, 1.40625, 188.4375,1.40625, 191.25,4.21875, 188.4375,4.21875, 191.25, -0.07893433925724848
4132, 1.40625, 191.25,1.40625, 194.0625,4.21875, 191.25,4.21875, 194.0625, -0.0789538801347556
4133, 1.40625, 194.0625,1.40625, 196.875,4.21875, 194.0625,4.21875, 196.875, -0.08872976347022961
4134, 1.40625, 196.875,1.40625, 199.6875,4.21875, 196.875,4.21875, 199.6875, -0.09450453566849731
4135, 1.40625, 199.6875,1.40625, 202.5,4.21875, 199.6875,4.21875, 202.5, -0.10922695209441449
4136, 1.40625, 202.5,1.40625, 205.3125,4.21875, 202.5,4.21875, 205.3125, -0.12445030256925137
4137, 1.40625, 205.3125,1.40625, 208.125,4.21875, 205.3125,4.21875, 208.125, -0.12191528317105607
4138, 1.40625, 208.125,1.40625, 210.9375,4.21875, 208.125,4.21875, 210.9375, -0.12623349128390676
4139, 1.40625, 210.9375,1.40625, 213.75,4.21875, 210.9375,4.21875, 213.75, -0.1388402931251357
4140, 1.40625, 213.75,1.40625, 216.5625,4.21875, 213.75,4.21875, 216.5625, -0.14956640125430815
4141, 1.40625, 216.5625,1.40625, 219.375,4.21875, 216.5625,4.21875, 219.375, -0.15656969172632346
4142, 1.40625, 219.375,1.40625, 222.1875,4.21875, 219.375,4.21875, 222.1875, -0.16282157167063266
4143, 1.40625, 222.1875,1.40625, 225.0,4.21875, 222.1875,4.21875, 225.0, -0.1575125224231343
4144, 1.40625, 225.0,1.40625, 227.8125,4.21875, 225.0,4.21875, 227.8125, -0.13236715704144564
4145, 1.40625, 227.8125,1.40625, 230.625,4.21875, 227.8125,4.21875, 230.625, -0.11728400433397425
4146, 1.40625, 230.625,1.40625, 233.4375,4.21875, 230.625,4.21875, 233.4375, -0.1095378356627394
4147, 1.40625, 233.4375,1.40625, 236.25,4.21875, 233.4375,4.21875, 236.25, -0.09665712646069774
4148, 1.40625, 236.25,1.40625, 239.0625,4.21875, 236.25,4.21875, 239.0625, -0.08331445485171282
4149, 1.40625, 239.0625,1.40625, 241.875,4.21875, 239.0625,4.21875, 241.875, -0.07419923979686655
4150, 1.40625, 241.875,1.40625, 244.6875,4.21875, 241.875,4.21875, 244.6875, -0.06738406904426193
4151, 1.40625, 244.6875,1.40625, 247.5,4.21875, 244.6875,4.21875, 247.5, -0.09113293056911792
4152, 1.40625, 247.5,1.40625, 250.3125,4.21875, 247.5,4.21875, 250.3125, -0.08243555830795533
4153, 1.40625, 250.3125,1.40625, 253.125,4.21875, 250.3125,4.21875, 253.125, -0.08049263363430995
4154, 1.40625, 253.125,1.40625, 255.9375,4.21875, 253.125,4.21875, 255.9375, -0.09289826806340215
4155, 1.40625, 255.9375,1.40625, 258.75,4.21875, 255.9375,4.21875, 258.75, -0.10634263036727085
4156, 1.40625, 258.75,1.40625, 261.5625,4.21875, 258.75,4.21875, 261.5625, -0.11247798496018269
4157, 1.40625, 261.5625,1.40625, 264.375,4.21875, 261.5625,4.21875, 264.375, -0.10833811468844107
4158, 1.40625, 264.375,1.40625, 267.1875,4.21875, 264.375,4.21875, 267.1875, -0.09593613561404912
4159, 1.40625, 267.1875,1.40625, 270.0,4.21875, 267.1875,4.21875, 270.0, -0.09324179116830741
4160, 1.40625, 270.0,1.40625, 272.8125,4.21875, 270.0,4.21875, 272.8125, -0.0894818223897971
4161, 1.40625, 272.8125,1.40625, 275.625,4.21875, 272.8125,4.21875, 275.625, -0.06344563023085348
4162, 1.40625, 275.625,1.40625, 278.4375,4.21875, 275.625,4.21875, 278.4375, -0.07031906738861454
4163, 1.40625, 278.4375,1.40625, 281.25,4.21875, 278.4375,4.21875, 281.25, -0.096851123617326
4164, 1.40625, 281.25,1.40625, 284.0625,4.21875, 281.25,4.21875, 284.0625, -0.07982516575013673
4165, 1.40625, 284.0625,1.40625, 286.875,4.21875, 284.0625,4.21875, 286.875, -0.06345293797814201
4166, 1.40625, 286.875,1.40625, 289.6875,4.21875, 286.875,4.21875, 289.6875, -0.07993141010895088
4167, 1.40625, 289.6875,1.40625, 292.5,4.21875, 289.6875,4.21875, 292.5, -0.057293001552553374
4168, 1.40625, 292.5,1.40625, 295.3125,4.21875, 292.5,4.21875, 295.3125, -0.055321224574931875
4169, 1.40625, 295.3125,1.40625, 298.125,4.21875, 295.3125,4.21875, 298.125, -0.049234564207545656
4170, 1.40625, 298.125,1.40625, 300.9375,4.21875, 298.125,4.21875, 300.9375, -0.05340795646824936
4171, 1.40625, 300.9375,1.40625, 303.75,4.21875, 300.9375,4.21875, 303.75, -0.08209039111321115
4172, 1.40625, 303.75,1.40625, 306.5625,4.21875, 303.75,4.21875, 306.5625, -0.07767422273480475
4173, 1.40625, 306.5625,1.40625, 309.375,4.21875, 306.5625,4.21875, 309.375, -0.07990029179733096
4174, 1.40625, 309.375,1.40625, 312.1875,4.21875, 309.375,4.21875, 312.1875, -0.111681128341829
4175, 1.40625, 312.1875,1.40625, 315.0,4.21875, 312.1875,4.21875, 315.0, -0.11011835536549726
4176, 1.40625, 315.0,1.40625, 317.8125,4.21875, 315.0,4.21875, 317.8125, -0.09771826175378578
4177, 1.40625, 317.8125,1.40625, 320.625,4.21875, 317.8125,4.21875, 320.625, -0.0991784761880939
4178, 1.40625, 320.625,1.40625, 323.4375,4.21875, 320.625,4.21875, 323.4375, -0.11321413282943163
4179, 1.40625, 323.4375,1.40625, 326.25,4.21875, 323.4375,4.21875, 326.25, -0.10316316326649332
4180, 1.40625, 326.25,1.40625, 329.0625,4.21875, 326.25,4.21875, 329.0625, -0.09506607712704926
4181, 1.40625, 329.0625,1.40625, 331.875,4.21875, 329.0625,4.21875, 331.875, -0.09364420119053517
4182, 1.40625, 331.875,1.40625, 334.6875,4.21875, 331.875,4.21875, 334.6875, -0.09182085257171695
4183, 1.40625, 334.6875,1.40625, 337.5,4.21875, 334.6875,4.21875, 337.5, -0.07996225089817341
4184, 1.40625, 337.5,1.40625, 340.3125,4.21875, 337.5,4.21875, 340.3125, -0.0730435914227751
4185, 1.40625, 340.3125,1.40625, 343.125,4.21875, 340.3125,4.21875, 343.125, -0.07439128365918557
4186, 1.40625, 343.125,1.40625, 345.9375,4.21875, 343.125,4.21875, 345.9375, -0.06597842532225268
4187, 1.40625, 345.9375,1.40625, 348.75,4.21875, 345.9375,4.21875, 348.75, -0.06795115961805007
4188, 1.40625, 348.75,1.40625, 351.5625,4.21875, 348.75,4.21875, 351.5625, -0.07132204054580207
4189, 1.40625, 351.5625,1.40625, 354.375,4.21875, 351.5625,4.21875, 354.375, -0.08436725963926232
4190, 1.40625, 354.375,1.40625, 357.1875,4.21875, 354.375,4.21875, 357.1875, -0.08172535141183132
4191, 4.21875, 0.0,4.21875, 2.8125,7.03125, 0.0,7.03125, 2.8125, -0.0865591946743852
4192, 4.21875, 2.8125,4.21875, 5.625,7.03125, 2.8125,7.03125, 5.625, -0.0738392075858492
4193, 4.21875, 5.625,4.21875, 8.4375,7.03125, 5.625,7.03125, 8.4375, -0.05947498710171857
4194, 4.21875, 8.4375,4.21875, 11.25,7.03125, 8.4375,7.03125, 11.25, -0.038267489306987965
4195, 4.21875, 11.25,4.21875, 14.0625,7.03125, 11.25,7.03125, 14.0625, -0.05374758274825756
4196, 4.21875, 14.0625,4.21875, 16.875,7.03125, 14.0625,7.03125, 16.875, -0.0685848242688287
4197, 4.21875, 16.875,4.21875, 19.6875,7.03125, 16.875,7.03125, 19.6875, -0.06967789999395924
4198, 4.21875, 19.6875,4.21875, 22.5,7.03125, 19.6875,7.03125, 22.5, -0.08087037824247603
4199, 4.21875, 22.5,4.21875, 25.3125,7.03125, 22.5,7.03125, 25.3125, -0.08858194281250575
4200, 4.21875, 25.3125,4.21875, 28.125,7.03125, 25.3125,7.03125, 28.125, -0.06099980990999099
4201, 4.21875, 28.125,4.21875, 30.9375,7.03125, 28.125,7.03125, 30.9375, -0.06172790232266916
4202, 4.21875, 30.9375,4.21875, 33.75,7.03125, 30.9375,7.03125, 33.75, -0.07374433182551493
4203, 4.21875, 33.75,4.21875, 36.5625,7.03125, 33.75,7.03125, 36.5625, -0.07692136040599146
4204, 4.21875, 36.5625,4.21875, 39.375,7.03125, 36.5625,7.03125, 39.375, -0.06998898604809269
4205, 4.21875, 39.375,4.21875, 42.1875,7.03125, 39.375,7.03125, 42.1875, -0.07836069529378026
4206, 4.21875, 42.1875,4.21875, 45.0,7.03125, 42.1875,7.03125, 45.0, -0.0729133582389061
4207, 4.21875, 45.0,4.21875, 47.8125,7.03125, 45.0,7.03125, 47.8125, -0.09481838151420237
4208, 4.21875, 47.8125,4.21875, 50.625,7.03125, 47.8125,7.03125, 50.625, -0.09487060765979807
4209, 4.21875, 50.625,4.21875, 53.4375,7.03125, 50.625,7.03125, 53.4375, -0.08843887811641202
4210, 4.21875, 53.4375,4.21875, 56.25,7.03125, 53.4375,7.03125, 56.25, -0.0783904039476595
4211, 4.21875, 56.25,4.21875, 59.0625,7.03125, 56.25,7.03125, 59.0625, -0.08118997156546429
4212, 4.21875, 59.0625,4.21875, 61.875,7.03125, 59.0625,7.03125, 61.875, -0.07839491490375051
4213, 4.21875, 61.875,4.21875, 64.6875,7.03125, 61.875,7.03125, 64.6875, -0.07529211570933864
4214, 4.21875, 64.6875,4.21875, 67.5,7.03125, 64.6875,7.03125, 67.5, -0.07223683657590199
4215, 4.21875, 67.5,4.21875, 70.3125,7.03125, 67.5,7.03125, 70.3125, -0.06322953516354837
4216, 4.21875, 70.3125,4.21875, 73.125,7.03125, 70.3125,7.03125, 73.125, -0.063161989512215
4217, 4.21875, 73.125,4.21875, 75.9375,7.03125, 73.125,7.03125, 75.9375, -0.06690879454675518
4218, 4.21875, 75.9375,4.21875, 78.75,7.03125, 75.9375,7.03125, 78.75, -0.06340322117182431
4219, 4.21875, 78.75,4.21875, 81.5625,7.03125, 78.75,7.03125, 81.5625, -0.056284071163632245
4220, 4.21875, 81.5625,4.21875, 84.375,7.03125, 81.5625,7.03125, 84.375, -0.06577950157551694
4221, 4.21875, 84.375,4.21875, 87.1875,7.03125, 84.375,7.03125, 87.1875, -0.0542651421717772
4222, 4.21875, 87.1875,4.21875, 90.0,7.03125, 87.1875,7.03125, 90.0, -0.059331569422672356
4223, 4.21875, 90.0,4.21875, 92.8125,7.03125, 90.0,7.03125, 92.8125, -0.06863763789679225
4224, 4.21875, 92.8125,4.21875, 95.625,7.03125, 92.8125,7.03125, 95.625, -0.06929545265025744
4225, 4.21875, 95.625,4.21875, 98.4375,7.03125, 95.625,7.03125, 98.4375, -0.06798460762701991
4226, 4.21875, 98.4375,4.21875, 101.25,7.03125, 98.4375,7.03125, 101.25, -0.06474477034928737
4227, 4.21875, 101.25,4.21875, 104.0625,7.03125, 101.25,7.03125, 104.0625, -0.06276831936627168
4228, 4.21875, 104.0625,4.21875, 106.875,7.03125, 104.0625,7.03125, 106.875, -0.08384464193131361
4229, 4.21875, 106.875,4.21875, 109.6875,7.03125, 106.875,7.03125, 109.6875, -0.08281532444753394
4230, 4.21875, 109.6875,4.21875, 112.5,7.03125, 109.6875,7.03125, 112.5, -0.06498284619520582
4231, 4.21875, 112.5,4.21875, 115.3125,7.03125, 112.5,7.03125, 115.3125, -0.07267712751943257
4232, 4.21875, 115.3125,4.21875, 118.125,7.03125, 115.3125,7.03125, 118.125, -0.09143201132950725
4233, 4.21875, 118.125,4.21875, 120.9375,7.03125, 118.125,7.03125, 120.9375, -0.10152729301574488
4234, 4.21875, 120.9375,4.21875, 123.75,7.03125, 120.9375,7.03125, 123.75, -0.12066775747152057
4235, 4.21875, 123.75,4.21875, 126.5625,7.03125, 123.75,7.03125, 126.5625, -0.12187439963934953
4236, 4.21875, 126.5625,4.21875, 129.375,7.03125, 126.5625,7.03125, 129.375, -0.11402585923992341
4237, 4.21875, 129.375,4.21875, 132.1875,7.03125, 129.375,7.03125, 132.1875, -0.11432328310775751
4238, 4.21875, 132.1875,4.21875, 135.0,7.03125, 132.1875,7.03125, 135.0, -0.11571087497129955
4239, 4.21875, 135.0,4.21875, 137.8125,7.03125, 135.0,7.03125, 137.8125, -0.1125210909305299
4240, 4.21875, 137.8125,4.21875, 140.625,7.03125, 137.8125,7.03125, 140.625, -0.09937974291276339
4241, 4.21875, 140.625,4.21875, 143.4375,7.03125, 140.625,7.03125, 143.4375, -0.07425389778976436
4242, 4.21875, 143.4375,4.21875, 146.25,7.03125, 143.4375,7.03125, 146.25, -0.05453761976415741
